#%create_date=2016-07-21 12:30:41
#%chip_type=Immune-response
#%lib_set_name=Immune-response
#%lib_set_version=v1
#%genome-species=Homo sapiens
#%genome-version=hg19
#%genome-version-ucsc=hg19
#%genome-version-ncbi=GRCh37
#%genome-version-create_date=2009-02-00
#%genome-lifted-method=liftOver
#%genome-lifted_from-species=Homo sapiens
#%genome-lifted_from-version-ucsc=hg19
#%genome-lifted_from-version-ncbi=GRCh37
"transcript_cluster_id","probeset_id","seqname","strand","start","stop","total_probes","gene_assignment","mrna_assignment","swissprot","unigene","GO_biological_process","GO_cellular_component","GO_molecular_function","pathway","protein_domains","crosshyb_type","category"
"CD8B_403510","CD8B_403510","chr2","+",87080140,87085259,"1","NM_172213 // CD8B // CD8b_molecule // --- // 926","---","---","---","---","---","---","---","---","1","main"
"CDK1_837939","CDK1_837939","chr9","+",21968156,21970986,"1","NM_001786 // CDK1 // cyclin-dependent_kinase_1 // --- // 983","---","---","---","---","---","---","---","---","1","main"
"CDKN2A_696829","CDKN2A_696829","chr9","+",21971112,21974711,"1","NM_000077 // CDKN2A // cyclin-dependent_kinase_inhibitor_2A // --- // 1029","---","---","---","---","---","---","---","---","1","main"
"CDKN3_434534","CDKN3_434534","chr14","+",54878302,54882643,"1","NM_005192 // CDKN3 // cyclin-dependent_kinase_inhibitor_3 // --- // 1033","---","---","---","---","---","---","---","---","1","main"
"CEACAM1_10471155","CEACAM1_10471155","chr19","+",43023303,43025483,"1","NM_001712 // CEACAM1 // carcinoembryonic_antigen_related_cell_adhesion_molecule_1 // --- // 634","---","---","---","---","---","---","---","---","1","main"
"CEACAM8_745847","CEACAM8_745847","chr19","+",43093125,43093692,"1","NM_001816 // CEACAM8 // carcinoembryonic_antigen_related_cell_adhesion_molecule_8 // --- // 1088","---","---","---","---","---","---","---","---","1","main"
"CIITA_294397","CIITA_294397","chr16","+",10989222,10989611,"1","NM_000246 // CIITA // class_II_major_histocompatibility_complex_transactivator // --- // 4261","---","---","---","---","---","---","---","---","1","main"
"CLEC4C_322429","CLEC4C_322429","chr12","+",7899984,7901767,"1","NM_130441 // CLEC4C // C-type_lectin_domain_family_4_member_C // --- // 170482","---","---","---","---","---","---","---","---","1","main"
"CMKLR1_36143","CMKLR1_36143","chr12","+",108687394,108714423,"1","NM_001142345 // CMKLR1 // chemerin_chemokine-like_receptor_1 // --- // 1240","---","---","---","---","---","---","---","---","1","main"
"CORO1A_457563","CORO1A_457563","chr16","+",30196647,30197985,"1","NM_007074 // CORO1A // coronin_1A // --- // 11151","---","---","---","---","---","---","---","---","1","main"
"CRTAM_312417","CRTAM_312417","chr11","+",122722494,122724740,"1","NM_019604 // CRTAM // cytotoxic_and_regulatory_T-cell_molecule // --- // 56253","---","---","---","---","---","---","---","---","1","main"
"CSF1R_19612067","CSF1R_19612067","chr5","+",149441116,149441392,"1","NM_005211 // CSF1R // colony_stimulating_factor_1_receptor // --- // 1436","---","---","---","---","---","---","---","---","1","main"
"CSF2RB_11971301","CSF2RB_11971301","chr22","+",37326819,37328902,"1","NM_000395 // CSF2RB // colony_stimulating_factor_2_receptor_beta_common_subunit // --- // 1439","---","---","---","---","---","---","---","---","1","main"
"CTAG1B_276373","CTAG1B_276373","chrX","+",153846461,153847266,"1","NM_001327 // CTAG1B // cancer_testis_antigen_1B // --- // 1485","---","---","---","---","---","---","---","---","1","main"
"CTAG2_407763","CTAG2_407763","chrX","+",153846068,153880848,"1","ENST00000369585 // CTAG2 // cancer_testis_antigen_2 // --- // 30848","---","---","---","---","---","---","---","---","1","main"
"CTLA4_584689","CTLA4_584689","chr2","+",204735608,204736201,"1","NM_005214 // CTLA4 // cytotoxic_T-lymphocyte_associated_protein_4 // --- // 1493","---","---","---","---","---","---","---","---","1","main"
"CTSS_356460","CTSS_356460","chr1","+",150730358,150737163,"1","NM_004079 // CTSS // cathepsin_S // --- // 1520","---","---","---","---","---","---","---","---","1","main"
"CX3CL1_190298","CX3CL1_190298","chr16","+",39307928,39323188,"1","NM_002996 // CX3CL1 // C-X3-C_motif_chemokine_ligand_1 // --- // 6376","---","---","---","---","---","---","---","---","1","main"
"CX3CR1_147243","CX3CR1_147243","chr3","+",39307949,39323168,"1","NM_001171172 // CX3CR1 // C-X3-C_motif_chemokine_receptor_1 // --- // 1524","---","---","---","---","---","---","---","---","1","main"
"CX3CR1_207292","CX3CR1_207292","chr3","+",39307935,39321511,"1","NM_001171171 // CX3CR1 // C-X3-C_motif_chemokine_receptor_1 // --- // 1524","---","---","---","---","---","---","---","---","1","main"
"CX3CR1_35133","CX3CR1_35133","chr3","+",39307926,39322573,"1","NM_001337 // CX3CR1 // C-X3-C_motif_chemokine_receptor_1 // --- // 1524","---","---","---","---","---","---","---","---","1","main"
"CX3CR1_58187","CX3CR1_58187","chr3","+",39307932,39321802,"1","NM_001171174 // CX3CR1 // C-X3-C_motif_chemokine_receptor_1 // --- // 1524","---","---","---","---","---","---","---","---","1","main"
"CXCL1_357459","CXCL1_357459","chr4","+",74735655,74736335,"1","NM_001511 // CXCL1 // C-X-C_motif_chemokine_ligand_1 // --- // 2919","---","---","---","---","---","---","---","---","1","main"
"CXCL10_354459","CXCL10_354459","chr4","+",76943002,76943568,"1","NM_001565 // CXCL10 // C-X-C_motif_chemokine_ligand_10 // --- // 3627","---","---","---","---","---","---","---","---","1","main"
"CXCL11_261361","CXCL11_261361","chr4","+",76956379,76957112,"1","NM_005409 // CXCL11 // C-X-C_motif_chemokine_ligand_11 // --- // 6373","---","---","---","---","---","---","---","---","1","main"
"CXCL13_202307","CXCL13_202307","chr4","+",78528894,78531818,"1","NM_006419 // CXCL13 // C-X-C_motif_chemokine_ligand_13 // --- // 10563","---","---","---","---","---","---","---","---","1","main"
"CXCL8_197302","CXCL8_197302","chr4","+",74606399,74607367,"1","NM_000584 // CXCL8 // C-X-C_motif_chemokine_ligand_8 // --- // 3576","---","---","---","---","---","---","---","---","1","main"
"CXCL9_149250","CXCL9_149250","chr4","+",76925998,76927400,"1","NM_002416 // CXCL9 // C-X-C_motif_chemokine_ligand_9 // --- // 4283","---","---","---","---","---","---","---","---","1","main"
"CXCR2_379486","CXCR2_379486","chr2","+",218994051,218999612,"1","NM_001557 // CXCR2 // C-X-C_motif_chemokine_receptor_2 // --- // 3579","---","---","---","---","---","---","---","---","1","main"
"CXCR3_11138","CXCR3_11138","chrX","+",70837224,70838377,"1","NM_001504 // CXCR3 // C-X-C_motif_chemokine_receptor_3 // --- // 2833","---","---","---","---","---","---","---","---","1","main"
"CXCR4_100208","CXCR4_100208","chr2","+",136873362,136875644,"1","NM_003467 // CXCR4 // C-X-C_motif_chemokine_receptor_4 // --- // 7852","---","---","---","---","---","---","---","---","1","main"
"CXCR5_153252","CXCR5_153252","chr11","+",118754601,118764350,"1","NM_001716 // CXCR5 // C-X-C_motif_chemokine_receptor_5 // --- // 643","---","---","---","---","---","---","---","---","1","main"
"CXCR6_48153","CXCR6_48153","chr3","+",45984996,45988065,"1","NM_006564 // CXCR6 // C-X-C_motif_chemokine_receptor_6 // --- // 10663","---","---","---","---","---","---","---","---","1","main"
"CYBB_14221529","CYBB_14221529","chrX","+",37665664,37668846,"1","NM_000397 // CYBB // cytochrome_b-245_beta_chain // --- // 1536","---","---","---","---","---","---","---","---","1","main"
"DDX58_540643","DDX58_540643","chr9","+",32492453,32493824,"1","NM_014314 // DDX58 // DEXD_H-box_helicase_58 // --- // 23586","---","---","---","---","---","---","---","---","1","main"
"DGAT2_439548","DGAT2_439548","chr11","+",75495699,75501289,"1","NM_032564 // DGAT2 // diacylglycerol_O-acyltransferase_2 // --- // 84649","---","---","---","---","---","---","---","---","1","main"
"DMBT1_64696575","DMBT1_64696575","chr10","+",124395685,124396762,"1","NM_007329 // DMBT1 // deleted_in_malignant_brain_tumors_1 // --- // 1755","---","---","---","---","---","---","---","---","1","main"
"EBI3_527636","EBI3_527636","chr19","+",4234784,4237043,"1","NM_005755 // EBI3 // Epstein-Barr_virus_induced_3 // --- // 10148","---","---","---","---","---","---","---","---","1","main"
"EFNA4_548649","EFNA4_548649","chr1","+",155039888,155041447,"1","NM_005227 // EFNA4 // ephrin_A4 // --- // 1945","---","---","---","---","---","---","---","---","1","main"
"EGFR_31583261","EGFR_31583261","chr7","+",55268044,55268967,"1","NM_005228 // EGFR // epidermal_growth_factor_receptor // --- // 1956","---","---","---","---","---","---","---","---","1","main"
"EGR2_454559","EGR2_454559","chr10","+",64574155,64575691,"1","NM_000399 // EGR2 // early_growth_response_2 // --- // 1959","---","---","---","---","---","---","---","---","1","main"
"EGR3_411516","EGR3_411516","chr8","+",22548969,22550426,"1","NM_004430 // EGR3 // early_growth_response_3 // --- // 1960","---","---","---","---","---","---","---","---","1","main"
"EIF2AK2_257357","EIF2AK2_257357","chr2","+",37374888,37376071,"1","NM_001135651 // EIF2AK2 // eukaryotic_translation_initiation_factor_2_alpha_kinase_2 // --- // 5610","---","---","---","---","---","---","---","---","1","main"
"ENTPD1_708815","ENTPD1_708815","chr10","+",97604307,97605177,"1","NM_001098175 // ENTPD1 // ectonucleoside_triphosphate_diphosphohydrolase_1 // --- // 953","---","---","---","---","---","---","---","---","1","main"
"EOMES_9391044","EOMES_9391044","chr3","+",27760941,27761779,"1","NM_005442 // EOMES // eomesodermin // --- // 8320","---","---","---","---","---","---","---","---","1","main"
"FAS_473575","FAS_473575","chr10","+",90762854,90767507,"1","NM_000043 // FAS // Fas_cell_surface_death_receptor // --- // 355","---","---","---","---","---","---","---","---","1","main"
"FASLG_417521","FASLG_417521","chr1","+",172628579,172629273,"1","NM_000639 // FASLG // Fas_ligand // --- // 356","---","---","---","---","---","---","---","---","1","main"
"FCER1G_31138","FCER1G_31138","chr1","+",161185095,161187859,"1","NM_004106 // FCER1G // Fc_fragment_of_IgE_receptor_Ig // --- // 2207","---","---","---","---","---","---","---","---","1","main"
"FCGR1A_547652","FCGR1A_547652","chr1","+",149760086,149761671,"1","NM_000566 // FCGR1A // Fc_fragment_of_IgG_receptor_Ia // --- // 2209 /// NM_000566 // FCGR1A // Fc_fragment_of_IgG_receptor_Ia // --- // 2210","---","---","---","---","---","---","---","---","1","main"
"FCGR2B_792903","FCGR2B_792903","chr1","+",161643749,161645081,"1","NM_004001 // FCGR2B // Fc_fragment_of_IgG_receptor_IIb // --- // 2213","---","---","---","---","---","---","---","---","1","main"
"FCGR3A_575682","FCGR3A_575682","chr1","+",161514654,161518265,"1","NM_000569 // FCGR3A // Fc_fragment_of_IgG_receptor_IIIa // --- // 2214","---","---","---","---","---","---","---","---","1","main"
"FCGR3B_620722","FCGR3B_620722","chr1","+",161594384,161596037,"1","NM_000570 // FCGR3B // Fc_fragment_of_IgG_receptor_IIIb // --- // 2215","---","---","---","---","---","---","---","---","1","main"
"FCRLA_710815","FCRLA_710815","chr1","+",161681142,161681748,"1","NM_001184866 // FCRLA // Fc_receptor_like_A // --- // 84824","---","---","---","---","---","---","---","---","1","main"
"FOXM1_10551166","FOXM1_10551166","chr12","+",2975632,2977821,"1","NM_021953 // FOXM1 // forkhead_box_M1 // --- // 2305","---","---","---","---","---","---","---","---","1","main"
"FOXO1_9761081","FOXO1_9761081","chr13","+",41134906,41239777,"1","NM_002015 // FOXO1 // forkhead_box_O1 // --- // 2308","---","---","---","---","---","---","---","---","1","main"
"FOXP3_865975","FOXP3_865975","chrX","+",49111898,49112252,"1","NM_014009 // FOXP3 // forkhead_box_P3 // --- // 50943","---","---","---","---","---","---","---","---","1","main"
"FUT4_31443252","FUT4_31443252","chr11","+",94280139,94280288,"1","NM_002033 // FUT4 // fucosyltransferase_4 // --- // 2526","---","---","---","---","---","---","---","---","1","main"
"FYB_12891393","FYB_12891393","chr5","+",39153591,39201960,"1","NM_001465 // FYB // FYN_binding_protein // --- // 2533","---","---","---","---","---","---","---","---","1","main"
"G6PD_10841194","G6PD_10841194","chrX","+",153761231,153761826,"1","NM_000402 // G6PD // glucose-6-phosphate_dehydrogenase // --- // 2539","---","---","---","---","---","---","---","---","1","main"
"GADD45GIP1_329429","GADD45GIP1_329429","chr19","+",13065281,13067756,"1","NM_052850 // GADD45GIP1 // GADD45G_interacting_protein_1 // --- // 90480","---","---","---","---","---","---","---","---","1","main"
"GAGE1_144260","GAGE1_144260","chrX","+",49336760,49364797,"1","NM_001468 // GAGE1,GAGE12I,GAGE12F // G_antigen_1 // --- // 2543 /// NM_001477 // GAGE1,GAGE12I,GAGE12F // G_antigen_1 // --- // 26748 /// NM_001098405 // GAGE1,GAGE12I,GAGE12F // G_antigen_1 // --- // 100008586","---","---","---","---","---","---","---","---","1","main"
"GAGE10_137250","GAGE10_137250","chrX","+",49161338,49161955,"1","NM_001098413 // GAGE10 // G_antigen_10 // --- // 102724473","---","---","---","---","---","---","---","---","1","main"
